"last_name, first_name",player_id,year,player_age,p_game,p_formatted_ip,pa,ab,hit,single,double,triple,home_run,strikeout,walk,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,isolated_power,babip,p_earned_run,p_run,p_save,p_blown_save,p_out,p_win,p_loss,p_wild_pitch,p_balk,p_shutout,p_era,p_opp_batting_avg,p_opp_on_base_avg,p_total_stolen_base,xba,xslg,woba,xwoba,xobp,xiso,wobacon,xwobacon,bacon,xbacon,xbadiff,xslgdiff,wobadiff,avg_swing_speed,fast_swing_rate,blasts_contact,blasts_swing,squared_up_contact,squared_up_swing,avg_swing_length,swords,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel,barrel_batted_rate,solidcontact_percent,flareburner_percent,poorlyunder_percent,poorlytopped_percent,poorlyweak_percent,hard_hit_percent,avg_best_speed,avg_hyper_speed,z_swing_percent,z_swing_miss_percent,oz_swing_percent,oz_swing_miss_percent,oz_contact_percent,out_zone_swing_miss,out_zone_swing,out_zone_percent,out_zone,meatball_swing_percent,meatball_percent,pitch_count_offspeed,pitch_count_fastball,pitch_count_breaking,pitch_count,iz_contact_percent,in_zone_swing_miss,in_zone_swing,in_zone_percent,in_zone,edge_percent,edge,whiff_percent,swing_percent,p_pickoff_attempt_1b,p_pickoff_attempt_2b,p_pickoff_attempt_3b,p_pickoff_1b,p_pickoff_2b,p_pickoff_3b,p_lob,p_rbi,p_stolen_base_2b,p_stolen_base_3b,p_stolen_base_home,p_quality_start,p_walkoff,p_run_support,p_ab_scoring,p_automatic_ball,p_ball,p_called_strike,p_catcher_interf,p_caught_stealing_2b,p_caught_stealing_3b,p_caught_stealing_home,p_complete_game,p_defensive_indiff,p_foul,p_foul_tip,p_game_finished,p_game_in_relief,p_gnd_into_dp,p_gnd_into_tp,p_gnd_rule_double,p_hit_by_pitch,p_hit_fly,p_hit_ground,p_hit_line_drive,p_hit_into_play,p_hit_scoring,p_hold,p_intent_ball,p_intent_walk,p_missed_bunt,p_out_fly,p_out_ground,p_out_line_drive,p_passed_ball,p_pickoff_error_1b,p_pickoff_error_2b,p_pickoff_error_3b,p_pitchout,p_relief_no_out,p_sac_bunt,p_sac_fly,p_starting_p,p_swinging_strike,p_unearned_run,p_total_ball,p_total_bases,p_total_caught_stealing,p_total_pickoff,p_total_pickoff_attempt,p_total_pickoff_error,p_total_pitches,p_total_sacrifices,p_total_strike,p_total_swinging_strike,p_inh_runner,p_inh_runner_scored,p_beq_runner,p_beq_runner_scored,p_reached_on_error,pull_percent,straightaway_percent,opposite_percent,batted_ball,f_strike_percent,groundballs_percent,groundballs,flyballs_percent,flyballs,linedrives_percent,linedrives,popups_percent,popups,pitch_hand,n,arm_angle,n_ff_formatted,ff_avg_speed,ff_avg_spin,ff_avg_break_x,ff_avg_break_z,ff_avg_break_z_induced,ff_avg_break,ff_range_speed,n_sl_formatted,sl_avg_speed,sl_avg_spin,sl_avg_break_x,sl_avg_break_z,sl_avg_break_z_induced,sl_avg_break,sl_range_speed,n_ch_formatted,ch_avg_speed,ch_avg_spin,ch_avg_break_x,ch_avg_break_z,ch_avg_break_z_induced,ch_avg_break,ch_range_speed,n_cu_formatted,cu_avg_speed,cu_avg_spin,cu_avg_break_x,cu_avg_break_z,cu_avg_break_z_induced,cu_avg_break,cu_range_speed,n_si_formatted,si_avg_speed,si_avg_spin,si_avg_break_x,si_avg_break_z,si_avg_break_z_induced,si_avg_break,si_range_speed,n_fc_formatted,fc_avg_speed,fc_avg_spin,fc_avg_break_x,fc_avg_break_z,fc_avg_break_z_induced,fc_avg_break,fc_range_speed,n_fs_formatted,fs_avg_speed,fs_avg_spin,fs_avg_break_x,fs_avg_break_z,fs_avg_break_z_induced,fs_avg_break,fs_range_speed,n_kn_formatted,kn_avg_speed,kn_avg_spin,kn_avg_break_x,kn_avg_break_z,kn_avg_break_z_induced,kn_avg_break,kn_range_speed,n_st_formatted,st_avg_speed,st_avg_spin,st_avg_break_x,st_avg_break_z,st_avg_break_z_induced,st_avg_break,st_range_speed,n_sv_formatted,sv_avg_speed,sv_avg_spin,sv_avg_break_x,sv_avg_break_z,sv_avg_break_z_induced,sv_avg_break,sv_range_speed,n_fo_formatted,fo_avg_speed,fo_avg_spin,fo_avg_break_x,fo_avg_break_z,fo_avg_break_z_induced,fo_avg_break,fo_range_speed,n_sc_formatted,sc_avg_speed,sc_avg_spin,sc_avg_break_x,sc_avg_break_z,sc_avg_break_z_induced,sc_avg_break,sc_range_speed,n_fastball_formatted,fastball_avg_speed,fastball_avg_spin,fastball_avg_break_x,fastball_avg_break_z,fastball_avg_break_z_induced,fastball_avg_break,fastball_range_speed,n_breaking_formatted,breaking_avg_speed,breaking_avg_spin,breaking_avg_break_x,breaking_avg_break_z,breaking_avg_break_z_induced,breaking_avg_break,breaking_range_speed,n_offspeed_formatted,offspeed_avg_speed,offspeed_avg_spin,offspeed_avg_break_x,offspeed_avg_break_z,offspeed_avg_break_z_induced,offspeed_avg_break,offspeed_range_speed
"Greinke, Zack",425844,2015,31,32,222.2,843,790,148,109,22,3,14,200,40,23.7,4.7,0.187,0.276,0.231,0.507,0.089,0.232,41,43,0,0,668,19,3,7,0,0,1.66,,,7,0.211,0.318,0.225,0.255,0.255,0.107,0.266,0.311,0.25,0.285,-0.024,-0.042,-0.03,,,,,,,,,87.3,9.8,28.1,24,4.0,3.2,21.7,25.1,38.5,3.2,27.8,77.378314772,92.576581107,69.1,18.0,31.8,42.4,57.0,247,582,56.5,1829,80.5,6.2,588,1733,909,3239,81.0,175,972,43.5,1407,43.5,1407,27.1,48.1,64,0,0,2,0,0,126,42,7,0,0,30,0,87,115,0,1089,521,0,6,0,0,1,0,523,32,0,0,15,0,2,5,10,48,90,598,18,0,2,1,4,90,246,71,0,0,0,0,0,2,6,2,32,351,2,1161,218,6,2,64,0,3239,8,2078,1434,0,0,5,1,7,33.3,40.1,26.6,598,64.1,49.2,294,16.7,100,27.1,162,7.0,42,R,3230,,43.7,92.4,2406.0,-2.2,-16.1,16.3,16.7,1.6,19.2,87.4,2330.0,6.9,-34.7,1.4,7.8,1.6,18.2,88.7,1741.0,-11.6,-33.4,1.7,12.4,1.9,9.0,74.2,2436.0,11.4,-64.9,-14.2,18.4,3.1,9.9,91.8,2192.0,-11.0,-23.6,9.2,14.9,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.7,92.3,2367,-3.8,-17.5,15.0,16.4,1.6,28.1,83.2,2371,8.4,-44.3,-3.5,11.2,7.2,18.2,88.7,1741.0,-11.6,-33.4,1.7,12.4,1.9
"Arrieta, Jake",453562,2015,29,33,229.0,870,811,150,104,32,4,10,236,48,27.1,5.5,0.185,0.271,0.236,0.507,0.086,0.247,45,52,0,0,687,22,6,6,0,3,1.77,,,27,0.202,0.281,0.225,0.241,0.253,0.079,0.276,0.3,0.26,0.287,-0.017,-0.01,-0.016,,,,,,,,,85.1,4.4,27.6,13,2.2,3.6,22.6,17.6,46.9,3.8,24.7,74.621439928,91.862529588,62.8,15.7,32.6,43.2,56.5,247,572,51.1,1754,72.7,7.8,159,1753,1515,3438,83.1,166,1055,48.9,1679,42.5,1460,25.4,47.4,76,0,0,1,0,0,132,48,25,2,0,29,0,79,135,0,1147,607,0,6,0,0,4,0,621,25,0,0,17,0,2,6,17,60,72,580,23,0,8,2,5,64,274,70,1,0,0,0,0,0,4,1,33,351,7,1202,220,6,1,76,0,3438,5,2236,1350,0,0,6,1,9,31.4,41.0,26.9,580,60.2,57.6,334,14.0,81,24.5,142,4.0,23,R,3427,,18.0,95.1,2292.0,-7.7,-15.8,15.0,17.2,1.4,28.9,90.8,2222.0,6.9,-29.5,4.1,9.0,2.0,4.6,89.5,1944.0,-16.1,-31.8,3.1,16.8,1.3,15.3,81.2,2689.0,11.8,-59.2,-16.6,20.5,1.6,33.1,95.3,2262.0,-13.1,-19.0,11.7,17.7,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.2,95.2,2273,-11.2,-17.9,12.9,17.5,1.3,44.2,87.5,2411,8.6,-39.8,-3.1,13.0,5.5,4.6,89.5,1944.0,-16.1,-31.8,3.1,16.8,1.3
"Kershaw, Clayton",477132,2015,27,33,232.2,890,839,163,120,26,2,15,301,42,33.8,4.7,0.194,0.284,0.237,0.521,0.09,0.283,55,62,0,0,698,16,7,9,3,3,2.13,,,7,0.191,0.273,0.231,0.228,0.235,0.082,0.321,0.319,0.303,0.301,0.003,0.011,0.003,,,,,,,,,85.6,8.8,29.0,18,3.3,3.5,25.3,20.3,39.7,4.2,24.4,75.253223876,92.038684524,68.0,24.0,33.3,51.7,47.9,277,536,47.6,1612,75.2,8.2,11,1816,1558,3392,75.2,290,1207,52.4,1775,43.3,1466,32.6,51.4,129,0,0,9,0,0,139,55,7,0,0,27,0,25,136,0,981,558,0,7,2,1,4,0,624,28,0,0,10,0,0,5,15,65,83,542,30,0,2,1,1,66,218,52,1,1,0,0,0,0,4,0,33,466,7,1089,238,9,9,129,1,3392,4,2303,783,0,0,4,3,3,37.3,40.4,22.0,542,68.3,52.2,283,15.1,82,25.1,136,7.6,41,L,3385,,53.5,94.3,2215.0,0.7,-12.4,19.0,19.2,1.1,27.9,88.6,2105.0,-4.9,-30.1,5.3,8.2,1.9,0.3,88.3,2036.0,10.3,-19.8,15.8,18.9,1.5,18.2,74.0,2271.0,-2.5,-69.0,-17.8,18.3,1.2,0.1,94.2,2250.0,9.4,-12.3,19.3,21.7,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.6,94.3,2215,0.7,-12.4,19.0,19.2,1.1,46.0,82.9,2185,-3.9,-45.4,-3.8,12.2,8.2,0.3,88.3,2036.0,10.3,-19.8,15.8,18.9,1.5
"deGrom, Jacob",594798,2015,27,30,191.0,751,694,149,109,24,0,16,205,38,27.3,5.1,0.215,0.318,0.255,0.573,0.103,0.277,54,59,0,0,573,14,8,6,0,0,2.54,,,4,0.214,0.323,0.251,0.26,0.259,0.108,0.321,0.337,0.3,0.307,0.001,-0.005,-0.009,,,,,,,,,87.4,12.0,30.2,20,4.0,5.3,24.7,24.9,32.4,3.6,29.6,76.951999079,92.928566625,69.5,19.4,34.4,42.4,57.0,217,512,50.1,1489,82.3,6.5,357,1849,761,2976,80.0,200,1033,49.9,1486,44.2,1316,27.0,51.9,48,3,0,0,0,0,111,59,3,1,0,23,0,87,111,0,901,491,0,5,1,0,0,1,613,37,0,0,8,0,1,2,16,63,70,506,27,0,8,2,0,86,180,55,0,0,0,0,0,0,10,7,30,363,5,939,221,6,0,51,0,2976,17,2037,1434,0,0,10,4,8,33.0,34.2,32.0,506,67.8,48.0,243,20.2,102,24.7,125,7.1,36,R,2967,,46.3,95.6,2261.0,-7.2,-14.9,15.6,17.4,1.5,15.8,90.2,2340.0,2.2,-27.1,7.0,8.0,1.6,12.0,86.0,1739.0,-11.7,-31.7,6.0,14.0,1.4,9.8,82.3,2068.0,8.1,-45.8,-4.9,10.0,1.8,16.0,95.3,2143.0,-13.4,-20.0,10.7,17.3,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.3,95.6,2231,-8.8,-16.2,14.4,17.4,1.5,25.6,87.2,2268,4.5,-34.2,2.5,8.7,4.6,12.0,86.0,1739.0,-11.7,-31.7,6.0,14.0,1.4
"Cole, Gerrit",543037,2015,24,32,208.0,832,765,183,136,31,5,11,202,44,24.3,5.3,0.239,0.336,0.287,0.623,0.097,0.308,60,71,0,0,624,19,8,7,0,0,2.6,,,25,0.241,0.37,0.274,0.294,0.291,0.129,0.333,0.361,0.322,0.328,-0.002,-0.034,-0.02,,,,,,,,,88.2,8.7,34.7,25,4.3,5.4,25.7,19.8,39.2,3.3,34.7,77.828299751,93.342487456,66.4,13.8,30.1,44.1,55.1,213,483,49.6,1607,81.7,8.1,119,2167,946,3238,85.3,149,1082,50.4,1630,42.0,1358,23.1,48.3,80,0,0,0,0,0,124,64,20,5,0,25,0,97,164,0,1046,555,0,10,0,0,0,0,613,29,0,0,22,0,4,10,15,58,109,576,42,0,4,1,5,96,224,50,2,0,0,0,1,3,7,6,32,294,11,1118,257,10,0,80,0,3238,13,2120,1526,0,0,17,4,8,32.8,41.5,25.3,576,61.7,49.0,282,19.3,111,27.6,159,4.2,24,R,3232,,50.7,96.3,2155.0,-11.0,-16.6,13.4,17.5,1.7,21.3,87.7,1925.0,6.9,-37.2,-1.2,7.9,1.9,3.7,88.8,1708.0,-12.5,-27.5,7.7,15.1,1.5,8.0,82.2,2465.0,16.2,-47.6,-6.4,17.7,1.5,16.4,96.2,2150.0,-14.1,-20.8,9.2,17.0,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0,96.3,2154,-11.7,-17.7,12.4,17.4,1.6,29.3,86.2,2160,9.5,-40.0,-2.6,10.6,3.3,3.7,88.8,1708.0,-12.5,-27.5,7.7,15.1,1.5
"Gray, Sonny",543243,2015,25,31,208.0,831,765,166,125,23,1,17,169,59,20.3,7.1,0.217,0.316,0.273,0.589,0.099,0.256,63,71,0,0,624,14,7,13,0,2,2.73,,,7,0.235,0.362,0.262,0.29,0.29,0.127,0.293,0.332,0.277,0.3,-0.018,-0.046,-0.028,,,,,,,,,88.9,7.7,27.6,27,4.5,4.8,22.1,23.0,42.8,2.2,34.6,78.922780842,93.538810404,65.9,13.7,27.3,44.4,55.3,184,414,49.3,1518,74.9,7.8,220,1929,928,3078,85.9,141,1027,50.7,1559,42.7,1314,22.5,46.8,48,0,0,0,0,0,144,63,7,0,0,22,0,0,133,0,1000,531,0,2,0,0,3,0,511,25,0,0,24,0,0,2,13,64,89,601,34,0,0,0,0,82,254,53,2,0,0,0,0,0,1,4,31,239,8,1105,242,2,0,48,0,3078,5,1973,300,0,0,0,0,8,38.8,37.1,23.6,601,59.2,52.9,318,16.6,100,23.8,143,6.7,40,R,3077,,37.1,93.7,2366.0,1.9,-16.4,15.0,15.4,1.4,16.4,86.6,2163.0,10.2,-36.2,0.7,11.0,1.6,7.1,88.1,1791.0,-8.3,-25.8,9.8,13.2,1.7,13.8,81.9,2610.0,17.3,-50.8,-9.3,19.9,1.5,24.2,93.5,2294.0,-8.4,-19.0,12.6,15.5,1.3,1.4,90.8,2340.0,6.8,-26.1,7.2,10.4,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.7,93.6,2337,-2.0,-17.7,13.9,15.3,1.4,30.2,84.4,2423,13.4,-42.9,-3.9,15.0,3.1,7.1,88.1,1791.0,-8.3,-25.8,9.8,13.2,1.7
"Scherzer, Max",453286,2015,30,33,228.2,899,847,176,106,40,3,27,276,34,30.7,3.8,0.208,0.358,0.242,0.6,0.15,0.273,71,74,0,0,686,14,12,10,1,3,2.79,,,6,0.202,0.34,0.259,0.253,0.238,0.137,0.356,0.349,0.307,0.302,0.006,0.018,0.006,,,,,,,,,87.1,17.1,33.2,34,5.8,5.7,23.5,31.7,26.4,3.4,29.8,76.531769821,92.79660595,72.5,25.5,33.8,45.6,53.4,230,504,44.5,1491,81.5,9.0,440,2043,870,3359,73.9,344,1350,55.5,1862,41.3,1386,31.0,55.2,84,0,0,0,0,0,136,69,4,2,0,23,1,96,143,0,913,526,0,2,0,0,4,0,683,58,0,0,5,0,1,5,27,52,97,584,31,0,6,2,4,110,172,58,0,0,0,0,0,4,11,2,33,481,3,979,303,2,0,84,0,3359,13,2380,1726,0,0,5,1,5,34.1,37.3,28.3,584,71.3,38.4,224,23.5,137,26.7,156,11.5,67,R,3353,,59.3,94.8,2498.0,-12.6,-17.3,13.8,18.9,1.8,17.9,86.6,2217.0,2.7,-34.8,2.2,4.9,1.6,13.1,85.4,1474.0,-14.5,-35.9,2.2,15.0,1.5,8.1,80.1,2189.0,7.3,-47.5,-4.1,8.9,1.7,,,,,,,,,1.6,89.9,2292.0,-2.4,-29.3,5.2,6.4,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.9,94.7,2493,-12.3,-17.6,13.6,18.6,2.0,25.9,84.5,2209,4.1,-38.7,0.2,6.1,3.7,13.1,85.4,1474.0,-14.5,-35.9,2.2,15.0,1.5
"Lynn, Lance",458681,2015,28,31,175.1,751,667,172,122,33,4,13,167,68,22.2,9.1,0.258,0.378,0.33,0.708,0.12,0.325,59,66,0,0,526,12,11,2,0,0,3.03,,,4,0.234,0.372,0.311,0.303,0.313,0.138,0.363,0.355,0.343,0.317,0.024,0.006,0.008,,,,,,,,,88.9,11.9,29.0,25,4.9,5.3,23.3,22.5,33.1,3.5,30.9,79.057149957,93.430351151,71.8,15.8,27.5,32.2,67.4,152,472,56.3,1717,80.3,6.0,80,2566,384,3053,83.2,152,959,43.7,1335,40.5,1237,21.2,46.9,63,0,0,4,0,0,151,64,4,0,0,19,0,56,173,0,1133,445,0,1,0,0,0,0,606,29,0,0,16,0,3,5,22,65,83,511,40,0,20,5,2,88,171,43,1,2,0,0,1,6,9,2,31,270,7,1176,252,1,4,63,2,3053,11,1877,1317,0,0,15,4,3,30.5,40.5,28.8,511,56.5,46.2,236,21.5,110,24.7,126,7.6,39,R,3030,,56.6,92.8,2418.0,-8.7,-18.6,13.7,16.4,1.9,8.0,87.0,2304.0,1.1,-30.5,6.1,7.3,1.9,2.6,84.9,1903.0,-14.0,-33.1,5.3,15.6,2.1,4.7,78.1,2032.0,9.7,-55.6,-9.9,14.1,2.0,28.1,91.5,2209.0,-14.0,-28.2,4.9,15.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.7,92.4,2349,-10.4,-21.8,10.8,16.0,2.0,12.7,83.7,2201,4.3,-39.7,0.2,9.8,5.0,2.6,84.9,1903.0,-14.0,-33.1,5.3,15.6,2.1
"Lester, Jon",452657,2015,31,32,205.0,827,764,183,119,42,6,16,207,47,25.0,5.7,0.24,0.373,0.288,0.661,0.133,0.306,76,83,0,0,615,11,12,8,0,0,3.34,,,44,0.225,0.343,0.289,0.277,0.277,0.118,0.357,0.34,0.326,0.31,0.015,0.03,0.012,,,,,,,,,87.1,9.5,31.3,25,4.4,3.5,24.2,21.9,38.7,4.2,28.4,76.763550147,92.74883356,65.6,14.6,30.5,41.2,57.9,225,546,56.3,1791,77.1,5.9,151,2542,489,3185,84.4,133,913,43.7,1392,41.8,1331,24.5,45.9,5,0,0,2,0,0,119,81,34,10,0,21,0,80,183,0,1096,568,1,9,2,0,1,0,523,23,0,0,13,0,4,7,17,70,96,566,47,0,0,0,4,79,216,48,1,2,0,0,1,4,5,4,32,304,7,1156,285,11,2,5,2,3185,9,2029,1421,0,0,14,3,8,37.3,36.0,25.6,566,61.3,50.5,286,17.0,96,25.6,145,6.9,39,L,3182,,45.2,92.6,2222.0,7.2,-16.4,16.1,17.8,1.5,,,,,,,,,4.7,85.1,1653.0,14.1,-31.8,6.5,15.8,1.6,15.4,75.5,2360.0,-11.8,-54.7,-5.9,13.4,2.3,10.8,91.5,2010.0,13.2,-25.3,7.8,15.5,1.7,23.9,88.5,2289.0,-3.2,-27.5,7.8,8.8,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.9,91.2,2213,4.9,-20.9,12.5,14.8,2.6,15.4,75.5,2360,-11.8,-54.7,-5.9,13.4,2.3,4.7,85.1,1653.0,14.1,-31.8,6.5,15.8,1.6
"Hendricks, Kyle",543294,2016,26,31,190.0,745,686,142,97,28,2,15,170,44,22.8,5.9,0.207,0.319,0.262,0.581,0.112,0.252,45,53,0,0,570,16,8,5,0,1,2.13,,,13,0.212,0.32,0.254,0.259,0.269,0.108,0.295,0.305,0.274,0.285,-0.005,-0.001,-0.005,,,,,,,,,86.6,10.1,28.9,18,3.4,4.2,20.1,24.3,39.0,3.1,26.2,76.410293878,92.363342796,57.0,16.6,31.5,37.1,61.9,183,493,54.1,1563,70.6,6.5,778,1869,223,2888,82.1,125,755,45.9,1325,45.2,1304,24.7,43.2,70,1,0,3,0,0,117,44,11,2,0,20,0,96,115,0,936,639,0,4,0,0,2,0,402,19,0,1,13,0,3,8,19,45,77,523,21,0,12,3,0,76,215,48,1,0,0,0,0,2,4,3,30,276,8,1001,219,4,3,71,0,2888,7,1887,1100,1,0,11,4,7,35.9,37.9,25.2,523,68.6,49.7,260,18.4,96,23.9,125,8.0,42,R,2870,,3.7,90.2,2177.0,-3.2,-19.8,14.2,14.7,1.0,,,,,,,,,27.1,80.7,2113.0,-7.1,-34.6,8.0,12.0,1.1,7.8,76.0,2880.0,15.5,-57.7,-9.3,18.4,1.5,45.4,88.1,1962.0,-10.9,-27.4,8.2,13.9,1.1,16.1,88.5,2140.0,-2.4,-20.2,15.2,15.6,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.1,88.3,2018,-8.4,-25.2,10.3,14.4,1.2,7.8,76.0,2880,15.5,-57.7,-9.3,18.4,1.5,27.1,80.7,2113.0,-7.1,-34.6,8.0,12.0,1.1
